OBJECTID,REPDIST,PREC,APREC,BUREAU,BASICCAR,TOOLTIP
98,1752,17,DEVONSHIRE,VALLEY BUREAU,17A23,Bureau: VALLEY BUREAU\nDistrict: 1752\nDivision: DEVONSHIRE
99,1753,17,DEVONSHIRE,VALLEY BUREAU,17A23,Bureau: VALLEY BUREAU\nDistrict: 1753\nDivision: DEVONSHIRE
100,1763,17,DEVONSHIRE,VALLEY BUREAU,17A23,Bureau: VALLEY BUREAU\nDistrict: 1763\nDivision: DEVONSHIRE
101,1757,17,DEVONSHIRE,VALLEY BUREAU,17A49,Bureau: VALLEY BUREAU\nDistrict: 1757\nDivision: DEVONSHIRE
102,1764,17,DEVONSHIRE,VALLEY BUREAU,17A81,Bureau: VALLEY BUREAU\nDistrict: 1764\nDivision: DEVONSHIRE
103,1765,17,DEVONSHIRE,VALLEY BUREAU,17A35,Bureau: VALLEY BUREAU\nDistrict: 1765\nDivision: DEVONSHIRE
104,1754,17,DEVONSHIRE,VALLEY BUREAU,17A35,Bureau: VALLEY BUREAU\nDistrict: 1754\nDivision: DEVONSHIRE
105,1755,17,DEVONSHIRE,VALLEY BUREAU,17A35,Bureau: VALLEY BUREAU\nDistrict: 1755\nDivision: DEVONSHIRE
106,1758,17,DEVONSHIRE,VALLEY BUREAU,17A49,Bureau: VALLEY BUREAU\nDistrict: 1758\nDivision: DEVONSHIRE
107,1759,17,DEVONSHIRE,VALLEY BUREAU,17A49,Bureau: VALLEY BUREAU\nDistrict: 1759\nDivision: DEVONSHIRE
108,1956,19,MISSION,VALLEY BUREAU,19A43,Bureau: VALLEY BUREAU\nDistrict: 1956\nDivision: MISSION
109,1952,19,MISSION,VALLEY BUREAU,19A43,Bureau: VALLEY BUREAU\nDistrict: 1952\nDivision: MISSION
110,1653,16,FOOTHILL,VALLEY BUREAU,16A23,Bureau: VALLEY BUREAU\nDistrict: 1653\nDivision: FOOTHILL
111,1668,16,FOOTHILL,VALLEY BUREAU,16A59,Bureau: VALLEY BUREAU\nDistrict: 1668\nDivision: FOOTHILL
112,1657,16,FOOTHILL,VALLEY BUREAU,16A59,Bureau: VALLEY BUREAU\nDistrict: 1657\nDivision: FOOTHILL
113,1658,16,FOOTHILL,VALLEY BUREAU,16A59,Bureau: VALLEY BUREAU\nDistrict: 1658\nDivision: FOOTHILL
114,1664,16,FOOTHILL,VALLEY BUREAU,16A77,Bureau: VALLEY BUREAU\nDistrict: 1664\nDivision: FOOTHILL
115,1667,16,FOOTHILL,VALLEY BUREAU,16A77,Bureau: VALLEY BUREAU\nDistrict: 1667\nDivision: FOOTHILL
116,1761,17,DEVONSHIRE,VALLEY BUREAU,17A23,Bureau: VALLEY BUREAU\nDistrict: 1761\nDivision: DEVONSHIRE
117,1651,16,FOOTHILL,VALLEY BUREAU,16A23,Bureau: VALLEY BUREAU\nDistrict: 1651\nDivision: FOOTHILL
118,1768,17,DEVONSHIRE,VALLEY BUREAU,17A95,Bureau: VALLEY BUREAU\nDistrict: 1768\nDivision: DEVONSHIRE
119,1969,19,MISSION,VALLEY BUREAU,19A79,Bureau: VALLEY BUREAU\nDistrict: 1969\nDivision: MISSION
